title,link,published,description,category,source,source sub-category,id
Doctor makes desperate call for help after ‘chaotic’ weekend in Manitoba ER,https://globalnews.ca/news/9225789/manitoba-er-doctor-wait-times/,"Tue, 25 Oct 2022 21:56:13 +0000",A desperate call for help is being made by a doctor from Manitoba's second-largest emergency department.,Health,global news,Global News,https://globalnews.ca/?p=9225789
Judge in Quebec racial profiling case orders end to random traffic stops by police,https://globalnews.ca/news/9226051/quebec-racial-profiling-case-traffic-stops/,"Tue, 25 Oct 2022 21:36:12 +0000","The challenge heard this year was brought by Joseph-Christopher Luamba, a Black Montreal resident who said he had been stopped by police nearly a dozen times without reason.",Canada,global news,Global News,https://globalnews.ca?p=9226051&preview=true&preview_id=9226051
Defeated Brampton mayoral candidate Nikki Kaur ‘terminated’ as city employee,https://globalnews.ca/news/9225735/nikki-kaur-brampton-no-longer-working/,"Tue, 25 Oct 2022 21:35:25 +0000","In an email sent to Brampton councillors on Tuesday, chief administrative officer Paul Morrison said Kaur is ""no longer working for the city.""",Politics,global news,Global News,https://globalnews.ca/?p=9225735
Frost Regina will be back in February for a 2nd time,https://globalnews.ca/news/9225530/frost-regina-february-2023-return/,"Tue, 25 Oct 2022 21:32:40 +0000","Frost Regina is a winter festival filled with various activities and events that spans over 10 days in four hub locations will return on February 3 - 12, 2023. ",Entertainment,global news,Global News,https://globalnews.ca/?p=9225530
Private endangered species charges against Ontario cabinet minister dropped,https://globalnews.ca/news/9225975/endangered-species-ontario-cabinet-minister/,"Tue, 25 Oct 2022 21:24:33 +0000",An Ontario town says private charges that alleged a provincial cabinet minister harmed a threatened turtle species while he was mayor have been dropped.,Environment,global news,Global News,https://globalnews.ca/?p=9225975
Alfredsson honoured to go into Hockey Hall of Fame,https://globalnews.ca/news/9226013/alfredsson-honoured-to-go-into-hockey-hall-of-fame/,"Tue, 25 Oct 2022 21:23:22 +0000","When Daniel Alfredsson arrived in Ottawa in the fall of 1995, that 22-year-old would have never believed he'd one day find himself in the Hockey Hall of Fame.",Sports,global news,Global News,https://globalnews.ca/news/9226013/alfredsson-honoured-to-go-into-hockey-hall-of-fame/
Regina Police Service introduces Community Crime Map,https://globalnews.ca/news/9225676/regina-police-community-crime-map-launch/,"Tue, 25 Oct 2022 21:14:37 +0000",Regina police announced the release of a new community crime map allowing Regina residents to get a visual perspective of the crime happening in the city and to take precautions.,Canada,global news,Global News,https://globalnews.ca/?p=9225676
Manitoba premier says decision yet to be made on timing of next election,https://globalnews.ca/news/9225816/manitoba-election-timing/,"Tue, 25 Oct 2022 21:14:03 +0000","Under provincial law, the election is scheduled for next Oct. 3, although governments are allowed to call the vote earlier.",Politics,global news,Global News,https://globalnews.ca/?p=9225816
"Winnipeg’s NFI Group talks supply chain issues, financial losses",https://globalnews.ca/news/9225588/winnipeg-nfi-group-supply-chain-issues-financial-losses/,"Tue, 25 Oct 2022 21:11:18 +0000",NFI Group vice-president of Strategy and Investor Relations Stephen King told 680 CJOB Tuesday morning a lack of specialty parts is making it harder to complete orders on time.,Canada,global news,Global News,https://globalnews.ca/?p=9225588
"London, Ont. man faces child porn charges following tip from Alberta authorities",https://globalnews.ca/news/9225785/london-ont-child-porn-charges-alberta/,"Tue, 25 Oct 2022 21:08:59 +0000","Between Sept. 23 and Oct. 25, police say they charged Micheal Jordan Blunte-Dittmer, 31, with 19 offences after searching a home on Adelaide Street North.",Crime,global news,Global News,https://globalnews.ca/?p=9225785
B.C.’s top 5 most wanted criminals remain on the lam this Halloween,https://globalnews.ca/news/9224954/top-5-most-wanted-bc-criminals-october-2022/,"Tue, 25 Oct 2022 21:05:35 +0000","Anonymous tips about most wanted men may be submitted via Crime Stoppers’ downloadable 'P3' app for Apple and Android phones, or by calling Crime Stoppers at 1-800-222-8477 (TIPS).",Crime,global news,Global BC,https://globalnews.ca/?p=9224954
2-alarm fire breaks out at Vancouver Street Church previously targeted by arson,https://globalnews.ca/news/9225777/vancouver-street-church-two-alarm-fire/,"Tue, 25 Oct 2022 21:02:14 +0000","Crews were called to the Vancouver Street Church around noon to reports of smoke. Another fire broke out in the same building in July, which is now being probed as an arson.",Fire,global news,Global BC,https://globalnews.ca/?p=9225777
"Police urge vigilance on the roads after driver hits child in Saanich, B.C. crosswalk",https://globalnews.ca/news/9225714/saanich-warning-child-struck-crosswalk/,"Tue, 25 Oct 2022 20:50:16 +0000","Police are reminding drivers to exercise caution and watch the roads in dark, wet weather after a child was struck in a marked crosswalk in Saanich on Tuesday. ",Crime,global news,Global BC,https://globalnews.ca/?p=9225714
2020 shooting linked to Richmond double homicide months later: police,https://globalnews.ca/news/9225476/2020-shooting-linked-to-richmond-double-homicide-months-later-police/,"Tue, 25 Oct 2022 20:01:18 +0000",A shooting involving three vehicles in December 2020 has now been linked to the slaying of two brothers in Richmond several months later. ,Crime,global news,Global BC,https://globalnews.ca/?p=9225476
Carolina Hurricanes hand winless Vancouver Canucks seventh straight loss,https://globalnews.ca/news/9225362/canucks-lose-3-2-to-carolina/,"Tue, 25 Oct 2022 18:52:16 +0000","The Canucks were outplayed in Monday's home-ice loss, with Carolina outshooting Vancouver 39-16, including 15-3 in the third period.",Sports,global news,Global BC,https://globalnews.ca/?p=9225362
Kelowna bus killer’s latest bail release discussed at B.C. legislature,https://globalnews.ca/news/9222706/kelowna-bus-killer-record-bail-bc-legislature/,"Tue, 25 Oct 2022 17:21:42 +0000","BC Liberals say they are concerned about 'catch and release' issues within the courts, using Kelowna criminal Tyler Jack Newton's lengthy record as an example.",Crime,global news,Global BC,https://globalnews.ca/?p=9222706
